code,area,term,year,status,delivery
PTH 101,PTH,Fall,,typical,Spring Hill
PTH 102,PTH,Spring,,typical,Spring Hill
ENG 121,ENG,Fall,,typical,Spring Hill
ENG 123,ENG,Fall,,typical,Spring Hill
ENG 242,ENG,Fall,,typical,Spring Hill
ENG 243,ENG,Fall,,typical,Spring Hill
ENG 276,ENG,Fall,,typical,Spring Hill
ENG 123,ENG,Spring,,typical,Spring Hill
ENG 240,ENG,Spring,,typical,Spring Hill
ENG 241,ENG,Spring,,typical,Spring Hill
ENG 242,ENG,Spring,,typical,Spring Hill
ENG 123,ENG,Summer,,typical,Spring Hill
PHL 101,PHL,Fall,,typical,Spring Hill
PHL 190,PHL,Fall,,typical,Spring Hill
PHL 210,PHL,Fall,,typical,Spring Hill
PHL 101,PHL,Spring,,typical,Spring Hill
PHL 214,PHL,Spring,,typical,Spring Hill
PHL 292,PHL,Spring,,typical,Spring Hill
PHL 101,PHL,Summer,,typical,Spring Hill
THL 101,THL,Fall,,typical,Spring Hill
THL 242,THL,Fall,,typical,Spring Hill
THL 250,THL,Fall,,typical,Spring Hill
THL 261,THL,Fall,,typical,Spring Hill
THL 101,THL,Spring,,typical,Spring Hill
THL 190,THL,Spring,,typical,Spring Hill
THL 232,THL,Spring,,typical,Spring Hill
THL 242,THL,Spring,,typical,Spring Hill
THL 250,THL,Spring,,typical,Spring Hill
THL 261,THL,Spring,,typical,Spring Hill
THL 101,THL,Summer,,typical,Spring Hill
THL 250,THL,Summer,,typical,Spring Hill
SPA 101,Language,Fall,,typical,Spring Hill
FRE 101,Language,Fall,,typical,Spring Hill
ITA 101,Language,Fall,,typical,Spring Hill
SPA 102,Language,Spring,,typical,Spring Hill
FRE 102,Language,Spring,,typical,Spring Hill
ITA 102,Language,Spring,,typical,Spring Hill
SPA 101,Language,Summer,,typical,Spring Hill
SPA 102,Language,Summer,,typical,Spring Hill
MTH 100,MTH,Fall,,typical,Spring Hill
MTH 101,MTH,Fall,,typical,Spring Hill
MTH 111,MTH,Fall,,typical,Spring Hill
MTH 121,MTH,Fall,,typical,Spring Hill
MTH 163,MTH,Fall,,typical,Spring Hill
MTH 223,MTH,Fall,,typical,Spring Hill
MTH 322,MTH,Fall,,typical,Spring Hill
MTH 451,MTH,Fall,,typical,Spring Hill
MTH 464,MTH,Fall,,typical,Spring Hill
MTH 482,MTH,Fall,,typical,Spring Hill
MTH 100,MTH,Spring,,typical,Spring Hill
MTH 101,MTH,Spring,,typical,Spring Hill
MTH 111,MTH,Spring,,typical,Spring Hill
MTH 121,MTH,Spring,,typical,Spring Hill
MTH 122,MTH,Spring,,typical,Spring Hill
MTH 163,MTH,Spring,,typical,Spring Hill
MTH 221,MTH,Spring,,typical,Spring Hill
MTH 261,MTH,Spring,,typical,Spring Hill
MTH 301,MTH,Spring,,typical,Spring Hill
MTH 365,MTH,Spring,,typical,Spring Hill
MTH 423,MTH,Spring,,typical,Spring Hill
MTH 491,MTH,Spring,,typical,Spring Hill
MTH 111,MTH,Summer,,typical,Spring Hill
MTH 163,MTH,Summer,,typical,Spring Hill
MTH 121,MTH,Summer,,typical,Spring Hill
HIS 110,HIS,Fall,,typical,Spring Hill
HIS 213,HIS,Fall,,typical,Spring Hill
HIS 214,HIS,Fall,,typical,Spring Hill
HIS 110,HIS,Spring,,typical,Spring Hill
HIS 120,HIS,Spring,,typical,Spring Hill
HIS 212,HIS,Spring,,typical,Spring Hill
HIS 214,HIS,Summer,,typical,Spring Hill
POL 112,POL,Fall,,typical,Spring Hill
POL 151,POL,Fall,,typical,Spring Hill
POL 112,POL,Spring,,typical,Spring Hill
POL 161,POL,Spring,,typical,Spring Hill
POL 151,POL,Summer,,typical,Spring Hill
BIO 101,BIO,Fall,,typical,Spring Hill
BIO 103,BIO,Fall,,typical,Spring Hill
BIO 120,BIO,Fall,,typical,Spring Hill
BIO 125,BIO,Fall,,typical,Spring Hill
BIO 140,BIO,Fall,,typical,Spring Hill
BIO 101,BIO,Summer,,typical,Spring Hill
BIO 120,BIO,Summer,,typical,Spring Hill
CHM 111,CHM,Fall,,typical,Spring Hill
CHM 113,CHM,Fall,,typical,Spring Hill
CHM 115,CHM,Fall,,typical,Spring Hill
CHM 112,CHM,Spring,,typical,Spring Hill
CHM 114,CHM,Spring,,typical,Spring Hill
PHY 115,PHY,Fall,,typical,Spring Hill
PHY 201,PHY,Fall,,typical,Spring Hill
PHY 221,PHY,Fall,,typical,Spring Hill
PHY 213,PHY,Fall,,typical,Spring Hill
PHY 202,PHY,Spring,,typical,Spring Hill
PHY 222,PHY,Spring,,typical,Spring Hill
PHY 214,PHY,Spring,,typical,Spring Hill
CSC 100,CSC,Fall,,typical,Spring Hill
CSC 202,CSC,Fall,,typical,Spring Hill
CSC 210,CSC,Fall,,typical,Spring Hill
CSC 311,CSC,Fall,,typical,Spring Hill
CSC 320,CSC,Fall,,typical,Spring Hill
CSC 341,CSC,Fall,,typical,Spring Hill
CSC 101,CSC,Spring,,typical,Spring Hill
CSC 203,CSC,Spring,,typical,Spring Hill
CSC 312,CSC,Spring,,typical,Spring Hill
